Epoch;Loss;Train precision;Val precision;Precision per class
12;0.1886579841375351;;77.13712618526623;[0.0, 80.2, 37.8, 73.6, 85.4, 93.8, 42.9, 70.9, 66.7, 20.0, 75.6, 61.0, 77.7, 69.5, 75.6, 72.9, 61.7, 77.3, 90.6, 90.3, 68.2]
13;0.06604035943746567;91.42315301926531;;[99.9, 85.4, 98.3, 82.2, 91.1, 96.2, 99.7, 98.8, 99.7, 99.4, 84.9, 87.1, 90.3, 80.3, 83.3, 86.2, 87.0, 98.9, 94.9, 93.4, 80.6]
13;0.06604035943746567;;78.7600291757841;[0.0, 81.0, 47.6, 75.7, 87.7, 93.3, 42.9, 61.8, 100.0, 33.3, 74.9, 68.3, 74.1, 69.4, 76.3, 77.8, 61.0, 81.8, 84.2, 86.4, 74.9]
14;0.5698274970054626;91.8772052991001;;[99.9, 86.3, 98.6, 82.3, 91.1, 96.8, 99.8, 98.9, 99.7, 99.6, 86.4, 88.5, 91.3, 82.3, 82.7, 86.4, 87.5, 99.1, 95.0, 93.5, 80.8]
14;0.5698274970054626;;78.53391684901531;[0.0, 79.2, 51.2, 76.9, 82.3, 92.8, 42.9, 63.6, 66.7, 26.7, 80.0, 53.5, 66.9, 65.7, 78.6, 75.7, 64.1, 81.8, 87.9, 83.7, 85.8]
15;0.5512669086456299;91.9729392135231;;[99.8, 85.6, 98.4, 83.8, 90.5, 96.6, 99.7, 98.9, 99.7, 99.6, 86.1, 88.7, 91.4, 81.5, 83.6, 86.2, 88.6, 98.9, 95.7, 93.7, 81.9]
15;0.5512669086456299;;79.8942377826404;[0.0, 81.7, 43.9, 74.6, 87.3, 94.1, 42.9, 74.5, 66.7, 40.0, 82.2, 65.4, 72.5, 70.8, 76.1, 79.1, 62.2, 79.5, 78.3, 84.7, 75.0]
16;0.12474329769611359;92.29661101942942;;[99.9, 86.4, 98.8, 84.0, 91.3, 96.9, 99.7, 98.9, 99.6, 99.5, 85.9, 89.1, 92.5, 83.1, 84.0, 86.1, 88.9, 99.2, 95.9, 93.8, 82.3]
16;0.12474329769611359;;79.11378555798687;[0.0, 76.8, 48.8, 74.6, 89.1, 93.9, 28.6, 74.5, 33.3, 40.0, 79.9, 60.8, 74.6, 65.5, 80.7, 75.0, 57.6, 77.3, 90.1, 89.8, 78.2]
17;0.5931157469749451;92.58016575643468;;[99.9, 86.3, 98.6, 84.6, 91.4, 96.8, 99.8, 98.8, 99.8, 99.7, 86.4, 90.3, 92.6, 83.8, 85.5, 86.3, 89.7, 99.3, 96.2, 94.1, 82.5]
17;0.5931157469749451;;77.09336250911743;[0.0, 77.9, 48.8, 74.4, 87.5, 90.0, 71.4, 76.4, 33.3, 33.3, 77.4, 77.7, 74.1, 58.8, 64.6, 74.1, 57.3, 84.1, 78.3, 87.5, 77.6]
18;0.10527312755584717;92.94942514063769;;[99.8, 87.8, 98.8, 85.6, 91.6, 97.2, 99.6, 99.1, 99.8, 99.6, 87.2, 90.2, 93.0, 84.4, 85.6, 87.3, 90.0, 99.3, 96.4, 94.1, 83.3]
18;0.10527312755584717;;79.08460977388768;[0.0, 82.7, 39.0, 68.8, 88.6, 69.4, 28.6, 69.1, 33.3, 40.0, 82.4, 59.8, 70.5, 64.4, 77.8, 78.1, 69.6, 77.3, 83.3, 85.7, 79.3]
19;0.0615810826420784;93.13086370225841;;[99.9, 87.5, 98.7, 86.4, 92.0, 97.1, 99.6, 99.1, 99.9, 99.6, 87.8, 91.1, 93.0, 85.2, 86.0, 86.5, 90.9, 99.2, 96.3, 94.5, 84.0]
19;0.0615810826420784;;80.1422319474836;[0.0, 79.6, 43.9, 76.4, 89.0, 66.0, 28.6, 74.5, 66.7, 33.3, 83.7, 59.2, 76.8, 51.3, 75.1, 84.4, 57.8, 81.8, 79.4, 86.9, 85.4]
