Epoch;Loss;Train precision;Val precision;Precision per class
11;0.055436767637729645;93.58488088812382;;[99.8, 93.1, 49.6, 78.4, 97.9, 91.1, 0.0, 34.6, 0.0, 0.0, 95.8, 50.9, 59.6, 51.2, 55.7, 97.9, 35.8, 81.2, 95.3, 92.0, 93.1]
11;0.055436767637729645;;84.83442742523705;[0.0, 88.1, 54.8, 79.9, 94.6, 92.0, 0.0, 36.8, 0.0, 0.0, 96.0, 38.3, 68.4, 46.0, 54.1, 95.5, 25.7, 83.6, 76.5, 90.1, 92.1]
12;0.17155054211616516;93.65344498096252;;[99.8, 92.9, 52.2, 78.1, 98.0, 91.5, 0.0, 46.2, 0.0, 0.0, 95.5, 49.9, 61.7, 52.9, 58.0, 98.0, 36.9, 80.9, 95.5, 92.6, 92.9]
12;0.17155054211616516;;84.26841721371262;[0.0, 90.1, 46.2, 72.5, 94.5, 89.5, 0.0, 36.8, 0.0, 0.0, 96.3, 47.2, 66.3, 38.9, 45.5, 97.1, 33.2, 76.7, 76.1, 90.5, 92.4]
13;0.022152340039610863;93.9116544369721;;[99.8, 93.3, 44.9, 79.2, 98.2, 91.9, 0.0, 45.5, 0.0, 0.0, 96.1, 54.8, 63.2, 51.1, 58.4, 98.0, 36.7, 84.4, 96.0, 93.4, 93.4]
13;0.022152340039610863;;84.28592268417214;[0.0, 88.0, 41.9, 69.2, 96.2, 90.4, 0.0, 17.9, 0.0, 0.0, 97.0, 63.0, 58.2, 55.0, 41.2, 98.1, 29.9, 83.6, 68.5, 88.1, 90.0]
14;0.1711425483226776;94.02617106011758;;[99.9, 93.4, 47.4, 79.8, 98.2, 92.3, 0.0, 41.5, 0.0, 0.0, 96.1, 52.0, 64.6, 53.5, 59.1, 98.0, 39.8, 86.0, 95.9, 93.5, 93.5]
14;0.1711425483226776;;85.00072939460247;[0.0, 87.0, 51.6, 82.6, 95.5, 89.5, 0.0, 51.6, 0.0, 0.0, 95.1, 60.2, 62.3, 46.3, 40.8, 98.3, 33.4, 49.3, 85.1, 92.4, 90.2]
0;0.018789812922477722;94.08087645333994;;[99.9, 93.5, 60.3, 79.9, 98.1, 93.1, 0.0, 48.2, 0.0, 0.0, 96.2, 54.2, 64.5, 55.6, 58.3, 98.1, 36.6, 79.3, 95.2, 93.6, 93.4]
0;0.018789812922477722;;84.7527352297593;[100.0, 89.8, 67.9, 74.6, 92.8, 92.0, 0.0, 35.1, 0.0, 0.0, 95.1, 45.8, 55.3, 58.1, 38.2, 98.0, 45.7, 74.6, 92.3, 90.8, 91.7]
1;0.09323704987764359;94.30699207865906;;[99.9, 93.7, 54.7, 80.6, 98.2, 92.7, 0.0, 50.0, 0.0, 0.0, 96.3, 56.1, 64.7, 56.3, 59.4, 98.1, 37.8, 82.0, 96.3, 93.6, 93.9]
1;0.09323704987764359;;86.01604668125456;[100.0, 89.2, 64.1, 77.8, 95.5, 92.7, 0.0, 40.3, 0.0, 0.0, 95.5, 37.8, 56.2, 58.4, 60.6, 96.6, 35.6, 84.1, 75.2, 91.0, 93.0]
2;0.06843410432338715;94.45506134298094;;[99.9, 93.8, 55.8, 82.0, 98.2, 92.8, 0.0, 40.9, 0.0, 0.0, 96.5, 55.3, 62.9, 54.7, 60.3, 98.3, 41.5, 82.5, 96.1, 93.6, 94.4]
2;0.06843410432338715;;86.38366156090444;[100.0, 86.4, 66.7, 76.2, 95.9, 93.4, 0.0, 40.3, 0.0, 0.0, 96.5, 43.4, 58.7, 65.4, 69.5, 95.5, 28.6, 79.4, 79.7, 91.5, 90.9]
